Pref,sex,胃がん,大腸がん,肝がん,肺がん,乳房がん,子宮がん,心筋梗塞,心疾患,脳血管疾患,肺炎
北海道,male,22.6,22.4,14.7,47.8,,,14.5,64.4,34.7,39.5
青森,male,31.1,28.3,17.8,45.4,,,22.8,76.8,52.8,49.1
岩手,male,21,21.1,13.6,39.3,,,16.5,80.5,51.8,36.8
宮城,male,21.3,18.3,12.6,40.1,,,11.5,65.1,43,31.1
秋田,male,34.1,23.5,11.1,39.3,,,9.5,64.6,52.2,41.4
山形,male,28.3,18,10.8,37.3,,,26.3,66.6,43.8,40
福島,male,23.8,23.8,11.8,38.3,,,34.7,79.2,43.7,37.1
茨城,male,25,25.4,14.7,39.6,,,23.8,66,46,42.3
栃木,male,27.2,23.8,14.5,36.4,,,19.7,78,49.1,39.9
群馬,male,25.3,22.6,12.7,37.7,,,12.7,71,39.5,41.2
埼玉,male,23.7,21.7,12.5,38.6,,,18.1,71.6,36.7,43.7
千葉,male,23.2,20.9,13.1,36,,,17.3,81,35.8,38.9
東京都,male,21.4,22,13,37,,,11.7,64.3,35.7,36.8
神奈川,male,22.5,21.2,12.7,37,,,16.2,64.5,36.6,32.9
新潟,male,28.9,21.3,9.3,39,,,16.7,60.7,47.7,33.8
富山,male,29,19.4,11.4,38.1,,,19.5,55.8,43.6,41.2
石川,male,22.7,17.8,14,41.9,,,16.8,60.1,36,41.4
福井,male,20.5,19.6,13.1,36.3,,,23.1,61.6,34.3,34.8
山梨,male,18.5,19.9,16.2,33.4,,,17.7,54.3,42,38.5
長野,male,18,17.3,10.7,29.3,,,16.9,60.8,41,26.5
岐阜,male,26.1,19.1,12.8,37.8,,,20.4,67.6,35.6,34.9
静岡,male,20.5,20.6,14.7,36.2,,,15.6,62.7,44.5,32.7
愛知,male,23,20.4,12.3,39.9,,,12.8,52.6,34.2,35.7
三重,male,22.4,19.6,12.8,41.6,,,21.3,62.8,37.1,38.6
滋賀,male,22,17.4,11,39.2,,,20.3,62.9,26.4,35.1
京都,male,21.4,20.3,13.2,39.7,,,11.1,69.6,33.1,35.5
大阪,male,25.4,22.3,17.9,45.6,,,13.3,72.9,33.2,44.8
兵庫,male,23.2,20.3,16.3,40,,,18.5,59.4,36.9,36.5
奈良,male,23.8,17.5,14.4,39.8,,,10.5,73.5,29,36.5
和歌山,male,23.1,23,18.5,42,,,16.5,74.5,32.4,43.1
鳥取,male,26.9,22.9,20.3,40.7,,,26,58.3,45,32.3
島根,male,24.3,20,15.9,39.5,,,11.1,56,38.5,32.5
岡山,male,20,17.9,15.2,38.1,,,28.9,66.3,35.8,44.6
広島,male,20.6,18,18.3,39.5,,,16.2,65.6,33.7,39.6
山口,male,23.2,20.3,17.6,38,,,11.2,70.8,37.9,46.2
徳島,male,21.1,22.8,17.9,37.8,,,11.6,61.6,40.3,45.7
香川,male,22.6,19.6,16,37.7,,,12.4,69.8,37.6,27.4
愛媛,male,23.9,20,18.7,41.4,,,11.1,80.3,38.6,40.3
高知,male,28.1,21.4,15.9,39.5,,,29.3,70.1,37.6,43.1
福岡,male,22.3,20.6,20.8,38.8,,,11.7,42.3,33.6,41.2
佐賀,male,25.1,17,19.9,38,,,9.1,50.2,38.4,43.2
長崎,male,20.5,22.1,17,43.5,,,21.8,62,34,37.9
熊本,male,16.7,17.5,16.9,36.8,,,8.6,57.3,33.9,36.5
大分,male,17.8,17.4,16.5,36.6,,,20.7,61,34.2,40.4
宮崎,male,21.3,17.6,18.5,35.8,,,17,71,42.2,40.6
鹿児島,male,19.5,18.2,16.7,36.7,,,20.2,60,44.1,44.1
沖縄,male,12.4,25.8,11.2,36.6,,,17.5,61.5,38.1,33.3
北海道,female,8.4,13.4,4.1,14.4,14.3,6.2,5.5,34.5,21,15.1
青森,female,11.1,16.1,4.7,12.8,16.2,6.9,6.8,36.6,28.2,19.6
岩手,female,7.3,14.6,4.1,8.8,12.6,5.2,5.2,37.9,29.3,13.7
宮城,female,7.3,10.9,4.2,10,11.3,6.1,5.3,30.9,23.7,12.9
秋田,female,9.5,13.4,3.4,10.5,12.7,6.5,3.1,29.6,26.9,14.3
山形,female,9.6,11.9,3.2,8.9,9,4.5,8.4,31.4,27.4,14.1
福島,female,9,12.2,4,12.1,11.7,5.1,15.5,41.1,27.4,14.6
茨城,female,8.8,14.1,3.6,10.2,12.7,5.7,9.4,37.3,24.9,19
栃木,female,8.5,12.4,4.2,9.7,12.1,5.8,8.2,39.3,28.5,16.9
群馬,female,8.3,12.6,4.3,10.8,10.6,5.7,4.8,36.6,23.5,17.9
埼玉,female,8.9,11,4.2,10.9,13.2,5.5,7.4,38.9,20.9,19
千葉,female,8.6,11.2,4.1,11.5,12,6.2,6.5,41.3,21.7,18.2
東京,female,8,12.2,4.1,11.9,13.3,5.8,4.3,32.2,19.4,14.7
神奈川,female,7.8,13.1,3.8,10.9,13.7,6,4.8,31.5,19,13.8
新潟,female,9.2,11.8,3.1,8.9,11.4,4.7,5.8,29,25.4,12.1
富山,female,10.4,12.4,3.7,8.4,10.8,4.1,5.4,27.3,22.5,16
石川,female,10,11.2,5,11.3,11.2,6.2,5.6,32.9,21.9,16.6
福井,female,10.3,11.2,4.2,9.6,9.8,6.1,6.6,33,17.9,15.8
山梨,female,8.1,12.1,5.2,9.7,11.7,4.6,6.8,29.5,23,12.5
長野,female,6.5,11.2,3.6,8.3,10.1,4.5,5.9,28.3,22.2,10.7
岐阜,female,9,13.3,4.4,9.3,11.1,4.9,7.8,34.8,19.8,15.3
静岡,female,7.3,11.4,4.1,9.7,11.5,5.9,5.6,32.5,23.3,13.5
愛知,female,9.1,12.9,4.4,11.6,12.3,6.2,5.4,31.8,20.7,14.3
三重,female,9.1,11.5,4,9.5,10.8,5.6,7.6,32.4,23.1,15.5
滋賀,female,9.5,10.9,3.8,10.7,10,3.8,8.1,33.8,17.1,13.8
京都,female,8.8,11.7,4.9,12,10.8,3.8,4.9,37.6,18.8,13.9
大阪,female,9.4,13.1,6,13.3,11.5,5.1,5,37.6,16.6,19.6
兵庫,female,8.3,12.5,6.1,11.2,10.9,4.6,7.6,33.2,19.1,15.7
奈良,female,7.9,10.1,4.7,12.9,11.6,4.2,4.1,39.1,17.8,15.9
和歌山,female,8.4,13.7,5.9,12,10.7,5,7.9,42.1,19.5,17.7
鳥取,female,10.2,10.2,4.8,10.5,8.4,7.4,10.7,30.1,22.9,11.5
島根,female,8.5,10.7,5.2,9.4,9.4,4.7,4.3,30.3,21.3,12.1
岡山,female,7.7,9,4.3,8.9,9.2,4.6,9.6,32.7,21,17.4
広島,female,8.1,11.3,5.6,11,9.9,5.3,6.9,35.7,19,15.9
山口,female,9.2,11.8,5.6,11.6,12.7,5.3,4.9,38.3,21.2,20.2
徳島,female,7.4,10.1,4.5,10.1,9.8,6,4.9,33,20.1,19.3
香川,female,8.7,9.6,4.5,9.7,9.5,4.9,6,39.3,18.1,14.1
愛媛,female,7.6,11.2,4.8,8.6,9.6,6,4.4,42.8,20,15.4
高知,female,9.6,8.6,6.5,12.1,12,4.3,9.8,35.7,20.2,18.4
福岡,female,8.2,13.2,6.6,11.9,12.6,6.9,4.6,23.9,17.7,16.8
